,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period
170,TOGO,TGO,46.65,79.9,68.58,2,1991-2025
171,THAILAND,THA,48.06,85.54,75.19,2,1991-2025
172,TAJIKISTAN,TJK,38.33,65.84,64.9,2,1991-2025
174,TIMOR-LESTE,TLS,47.52,72.43,68.29,2,1991-2025
176,TRINIDAD AND TOBAGO,TTO,48.16,80.8,69.68,2,1991-2025
177,TUNISIA,TUN,43.98,86.97,71.66,2,1991-2025
180,UNITED REPUBLIC OF TANZANIA,TZA,39.96,81.47,67.6,2,1991-2025
181,UGANDA,UGA,36.43,72.89,62.17,2,1991-2025
183,URUGUAY,URY,56.71,79.0,73.03,2,1991-2025
185,UZBEKISTAN,UZB,38.75,57.77,58.16,2,1991-2025
186,SAINT VINCENT AND THE GRENADINES,VCT,40.29,68.48,61.09,2,1991-2025
187,VENEZUELA,VEN,34.47,75.98,66.04,2,1991-2025
188,VIET NAM,VNM,38.64,86.04,71.73,2,1991-2025
191,YEMEN,YEM,41.07,85.13,70.81,2,1991-2025
193,SOUTH AFRICA,ZAF,44.99,79.68,73.01,2,1991-2025
194,ZAMBIA,ZMB,43.81,80.3,68.56,2,1991-2025
195,ZIMBABWE,ZWE,38.56,83.46,71.35,2,1991-2025
