"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_russia","pct_agreement_w_russia"
"PRY","PARAGUAY","537","56.35","1858","75.87","1562","68.66"
"QAT","QATAR","421","46.16","2144","87.33","1653","73.30"
"ROU","ROMANIA","667","70.06","1282","62.29","1448","72.87"
"RUS","RUSSIAN FEDERATION","417","54.58","1705","76.01","2289","100.00"
"RWA","RWANDA","279","29.49","1109","45.15","926","40.58"
"SAU","SAUDI ARABIA","423","45.93","2092","85.25","1650","73.11"
"SCG","SERBIA AND MONTENEGRO","43","71.67","124","66.31","147","78.61"
"SDN","SUDAN","333","39.98","2073","85.63","1607","72.06"
"SEN","SENEGAL","441","46.82","2096","85.17","1633","71.47"
"SGP","SINGAPORE","466","48.95","2096","85.10","1662","72.99"
"SLB","SOLOMON ISLANDS","478","50.21","1603","65.56","1409","61.99"
"SLE","SIERRA LEONE","395","41.80","1725","70.09","1377","60.37"
"SLV","EL SALVADOR","498","52.20","1909","77.54","1565","68.40"
"SMR","SAN MARINO","618","64.78","1294","59.36","1354","66.80"
"SOM","SOMALIA","152","16.26","972","39.51","793","34.72"
"SRB","SERBIA","318","58.35","932","68.23","949","77.15"
"SSD","SOUTH SUDAN","114","26.15","316","28.62","287","29.65"
"STP","SAO TOME AND PRINCIPE","158","16.58","788","31.99","622","27.17"
"SUR","SURINAME","424","44.54","1902","77.25","1519","66.45"
"SVK","SLOVAKIA","646","70.14","1273","64.20","1405","73.44"
"SVN","SLOVENIA","664","69.75","1311","63.06","1454","72.55"
"SWE","SWEDEN","672","70.51","1383","65.24","1488","74.62"
"SWZ","SWAZILAND","338","35.62","1489","60.55","1192","52.26"
"SWZ","ESWATINI","338","35.62","1489","60.55","1192","52.26"
"SYC","SEYCHELLES","265","27.78","965","39.20","785","34.31"
"SYR","SYRIAN ARAB REPUBLIC","214","28.50","1997","83.24","1553","69.86"
"TCD","CHAD","290","30.95","1320","53.70","1039","45.71"
"TGO","TOGO","438","46.65","1964","79.90","1563","68.58"
"THA","THAILAND","458","48.06","2106","85.54","1718","75.19"
"TJK","TAJIKISTAN","353","38.33","1619","65.84","1481","64.90"
"TKM","TURKMENISTAN","227","24.73","1337","54.31","1131","49.63"
"TLS","TIMOR-LESTE","307","47.52","1290","72.43","1111","68.29"
"TON","TONGA","270","37.09","907","46.13","777","43.21"
"TTO","TRINIDAD AND TOBAGO","459","48.16","1990","80.80","1588","69.68"
"TUN","TUNISIA","409","43.98","2136","86.97","1631","71.66"
"TUR","TURKEY","569","62.25","1568","74.56","1452","71.74"
"TUR","TÜRKİYE","569","62.25","1568","74.56","1452","71.74"
"TUR","TÜRKÝYE","569","62.25","1568","74.56","1452","71.74"
"TUR","TÜRKIYE","569","62.25","1568","74.56","1452","71.74"
"TUV","TUVALU","296","42.41","877","46.16","746","42.78"
"TZA","UNITED REPUBLIC OF TANZANIA","376","39.96","2005","81.47","1540","67.60"
"UGA","UGANDA","341","36.43","1788","72.89","1410","62.17"
"UKR","UKRAINE","619","65.50","1422","65.99","1472","72.69"
"URY","URUGUAY","541","56.71","1941","79.00","1668","73.03"
"USA","UNITED STATES","954","100.00","304","38.05","417","54.58"
"UZB","UZBEKISTAN","348","38.75","1417","57.77","1326","58.16"
"VCT","SAINT VINCENT AND THE GRENADINES","384","40.29","1686","68.48","1391","61.09"
"VEN","VENEZUELA","294","34.47","1850","75.98","1501","66.04"
"VEN","VENEZUELA (BOLIVARIAN REPUBLIC OF)","294","34.47","1850","75.98","1501","66.04"
"VNM","VIET NAM","335","38.64","2108","86.04","1624","71.73"
"VUT","VANUATU","437","45.81","1257","51.16","1059","46.35"
"WSM","SAMOA","530","55.56","1516","62.28","1404","61.99"
"YEM","YEMEN","384","41.07","2089","85.13","1606","70.81"
"YUG","YUGOSLAVIA","39","11.89","114","15.62","125","17.61"
"ZAF","SOUTH AFRICA","418","44.99","1957","79.68","1664","73.01"
"ZMB","ZAMBIA","414","43.81","1973","80.30","1561","68.56"
"ZWE","ZIMBABWE","317","38.56","2033","83.46","1616","71.35"
