,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
128,MADAGASCAR,MDG,38.35,71.82,71.36,1,1946-2025,
129,MALDIVES,MDV,38.71,78.81,72.05,1,1946-2025,
130,MEXICO,MEX,49.47,78.83,76.82,1,1946-2025,
131,MALI,MLI,36.74,79.53,77.69,1,1946-2025,
132,MALTA,MLT,50.11,68.37,71.31,1,1946-2025,
133,BURMA,MMR,42.13,77.12,72.66,1,1946-2025,
134,MONGOLIA,MNG,37.99,77.22,84.93,1,1946-2025,
135,MOZAMBIQUE,MOZ,31.25,78.94,76.28,1,1946-2025,
136,MAURITANIA,MRT,37.64,77.16,73.33,1,1946-2025,
137,MAURITIUS,MUS,39.16,76.47,72.6,1,1946-2025,
138,MALAWI,MWI,43.15,58.31,54.1,1,1946-2025,
139,FEDERATION OF MALAYA,MYS,45.08,83.29,77.88,1,1946-2025,
140,NAMIBIA,NAM,38.66,83.11,69.43,1,1946-2025,
141,NIGER,NER,38.16,71.68,67.34,1,1946-2025,
142,NIGERIA,NGA,39.97,79.14,75.94,1,1946-2025,
143,NICARAGUA,NIC,42.86,74.28,72.38,1,1946-2025,
144,NEPAL,NPL,43.58,78.93,75.87,1,1946-2025,
145,OMAN,OMN,39.7,82.62,76.27,1,1946-2025,
146,PAKISTAN,PAK,44.52,83.05,78.31,1,1946-2025,
147,PANAMA,PAN,50.76,73.4,71.28,1,1946-2025,
148,PERU,PER,50.63,78.16,76.59,1,1946-2025,
149,PHILIPPINE REPUBLIC,PHL,48.98,81.57,76.72,1,1946-2025,
150,PAPUA NEW GUINEA,PNG,43.37,66.92,65.31,1,1946-2025,
151,POLAND,POL,49.89,67.11,85.78,1,1946-2025,
152,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,17.62,79.9,66.49,1,1946-2025,
153,PARAGUAY,PRY,50.59,65.47,59.52,1,1946-2025,
154,QATAR,QAT,40.28,82.12,77.26,1,1946-2025,
155,ROMANIA,ROU,50.29,68.05,79.89,1,1946-2025,
156,RUSSIAN FEDERATION,RUS,54.58,76.01,100.0,1,1946-2025,
157,RWANDA,RWA,35.42,59.68,60.1,1,1946-2025,
158,SAUDI ARABIA,SAU,40.45,78.81,75.73,1,1946-2025,
159,SUDAN,SDN,38.47,79.93,76.17,1,1946-2025,
160,SENEGAL,SEN,43.55,80.8,76.59,1,1946-2025,
