,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_cccp,cluster,period
25,CANADA,CAN,71.85,50.16,45.67,2,1946-1991
33,COMOROS,COM,23.04,58.6,56.1,2,1946-1991
35,COSTA RICA,CRI,47.1,65.58,65.16,2,1946-1991
40,GERMANY,DEU,62.71,51.16,56.92,2,1946-1991
43,DENMARK,DNK,66.43,53.35,52.25,2,1946-1991
44,DOMINICAN REPUBLIC,DOM,47.0,65.77,64.8,2,1946-1991
50,SPAIN,ESP,59.45,58.0,57.71,2,1946-1991
51,ESTONIA,EST,50.0,42.65,54.41,2,1946-1991
53,FINLAND,FIN,53.33,53.92,60.27,2,1946-1991
55,FRANCE,FRA,72.81,42.07,41.14,2,1946-1991
56,MICRONESIA (FEDERATED STATES OF),FSM,35.71,62.16,54.79,2,1946-1991
58,UNITED KINGDOM,GBR,81.6,42.67,39.03,2,1946-1991
59,"GERMANY, FEDERAL REPUBLIC OF",GER,75.0,37.57,36.7,2,1946-1991
64,EQUATORIAL GUINEA,GNQ,25.29,52.75,51.73,2,1946-1991
65,GREECE,GRC,58.84,64.02,66.18,2,1946-1991
66,GRENADA,GRD,26.04,53.68,52.74,2,1946-1991
67,GUATEMALA,GTM,48.79,61.4,59.83,2,1946-1991
69,HONDURAS,HND,46.04,66.93,64.18,2,1946-1991
70,HAITI,HTI,40.16,63.61,62.72,2,1946-1991
74,IRELAND,IRL,61.36,54.86,54.91,2,1946-1991
77,ICELAND,ISL,60.25,55.14,52.55,2,1946-1991
78,ISRAEL,ISR,63.38,41.26,36.03,2,1946-1991
79,ITALY,ITA,71.88,46.68,46.13,2,1946-1991
82,JAPAN,JPN,63.48,52.22,50.41,2,1946-1991
85,SAINT CHRISTOPHER AND NEVIS,KNA,20.09,40.61,40.42,2,1946-1991
86,REPUBLIC OF KOREA,KOR,46.43,68.49,60.27,2,1946-1991
93,LIECHTENSTEIN,LIE,40.68,49.34,57.52,2,1946-1991
96,LITHUANIA,LTU,53.57,52.24,62.69,2,1946-1991
97,LUXEMBOURG,LUX,71.45,47.29,43.78,2,1946-1991
98,LATVIA,LVA,50.0,45.45,50.0,2,1946-1991
103,MARSHALL ISLANDS,MHL,53.57,55.41,60.27,2,1946-1991
111,MALAWI,MWI,41.42,52.68,51.83,2,1946-1991
117,NETHERLANDS,NLD,71.54,50.37,46.07,2,1946-1991
118,NORWAY,NOR,63.83,55.01,54.92,2,1946-1991
120,NEW ZEALAND,NZL,63.98,56.22,54.61,2,1946-1991
128,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,30.77,77.78,47.89,2,1946-1991
129,PORTUGAL,PRT,59.25,50.57,49.88,2,1946-1991
130,PARAGUAY,PRY,47.29,56.3,51.0,2,1946-1991
138,SOLOMON ISLANDS,SLB,19.1,48.95,46.63,2,1946-1991
140,EL SALVADOR,SLV,45.13,63.71,62.51,2,1946-1991
145,SWEDEN,SWE,60.01,55.83,57.63,2,1946-1991
159,UNITED STATES,USA,100.0,40.45,33.99,2,1946-1991
160,SAINT VINCENT AND THE GRENADINES,VCT,20.86,53.31,51.53,2,1946-1991
